Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
10	Stromal cells	Myofibroblasts	Myofibroblasts	ITGA5	0.31	27.1	3.93e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	RASSF1	0.43	40.0	4.78e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	IL32	0.77	60.0	5.3e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	VGLL1	-1.08	5.7	5.58e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	SYTL2	0.39	32.9	6.09e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	CYB5A	-1.08	42.9	6.21e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-CO2	-0.92	100.0	6.66e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	UPK1A	-1.66	12.9	6.76e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	PHLDB2	0.32	30.0	7.79e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	PTK7	0.29	32.9	7.92e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-CYB	-0.9	97.1	8.22e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	MRC2	0.34	25.7	8.41e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	ECE1	0.43	51.4	8.77e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	MEAF6	-1.0	52.9	9.06e-19
10	Stromal cells	Myofibroblasts	Myofibroblasts	S100A4	1.24	85.7	1.03e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	PLXND1	0.33	37.1	1.2e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	SPINT1	-1.04	12.9	1.24e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	UCP2	-1.1	4.3	1.24e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	GSTA4	0.37	22.9	1.69e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	TCF21	0.28	14.3	1.93e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	NR2F1	0.49	32.9	2.04e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	TPT1	0.59	100.0	2.11e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	CHSY1	0.31	28.6	2.13e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	MMP14	0.54	58.6	2.13e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	GDPD3	-1.16	4.3	2.13e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	S1PR3	0.39	32.9	2.16e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	SERPINH1	1.0	81.4	2.19e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	SDC4	-0.96	11.4	2.4e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	MYL6	0.67	98.6	2.78e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	LSR	-0.92	10.0	3.02e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	CLDN7	-1.0	15.7	3.15e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	NPTN	0.61	54.3	3.62e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	LGALS3	-0.91	72.9	4.14e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	SNRPF	-0.9	51.4	4.56e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	C2orf27A	0.27	21.4	4.72e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL10	0.47	100.0	5.07e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	STMN1	-1.05	28.6	5.1e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	ABTB1	0.37	31.4	5.4e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	MAL	-1.26	5.7	6.37e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	CRTAP	0.53	52.9	7.09e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	B2M	0.63	100.0	7.51e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	GGCT	-1.06	21.4	7.8e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	CD59	0.86	91.4	9.1e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	DEK	-1.08	75.7	9.94e-18
10	Stromal cells	Myofibroblasts	Myofibroblasts	SLC44A1	-0.99	21.4	1.13e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	CABIN1	0.43	32.9	1.21e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	GBP2	0.92	62.9	1.25e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	MAGEA3	-1.04	4.3	1.27e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	RNF130	0.37	38.6	1.27e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	CDC42BPA	0.46	47.1	1.33e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	SAT2	0.56	48.6	1.33e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	TYMP	0.75	65.7	1.46e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	CITED4	-1.1	2.9	1.46e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	RAB25	-0.87	5.7	1.69e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	NFATC2	0.31	24.3	2.09e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	UPK3B	-1.08	11.4	2.16e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	BST2	0.55	57.1	2.5e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	DMKN	-0.97	8.6	2.58e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	GNG5	-0.72	77.1	2.75e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	HMGA1	-1.03	12.9	3.22e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	GNB2L1	0.6	97.1	3.59e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	PHACTR4	-0.97	18.6	4.07e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	S100A6	-1.0	98.6	5.46e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	RHOA	0.56	95.7	5.65e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	GALNT1	-0.95	12.9	5.97e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	CD55	-1.12	35.7	6.12e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	GATA3	-1.03	12.9	7.34e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	EIF5AL1	0.69	58.6	7.46e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	SKIL	-1.0	30.0	8.37e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	SNRK	0.33	32.9	8.85e-17
10	Stromal cells	Myofibroblasts	Myofibroblasts	FAM49B	-0.84	8.6	1.05e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	IKBIP	0.51	47.1	1.15e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	S100A16	-0.97	10.0	1.44e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	HEBP2	-0.85	35.7	1.95e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	TPD52	-0.86	4.3	2.6e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	TPM3	-0.82	45.7	2.87e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	MZT2B	-0.79	58.6	3.1e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	MYL12B	-0.65	94.3	3.14e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRKAR1A	0.68	81.4	3.32e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRDM1	0.42	38.6	3.41e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	WIPF1	0.28	25.7	3.54e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	PLEKHG2	0.27	25.7	3.74e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	FHL2	-1.08	42.9	3.76e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	MAP4	0.5	58.6	4.05e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	HMOX1	-1.18	10.0	4.2e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	TRAM2	0.28	18.6	4.61e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	PLA2G16	-1.04	18.6	8.83e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	ZNF503	0.52	32.9	9.58e-16
10	Stromal cells	Myofibroblasts	Myofibroblasts	IGFBP5	1.41	32.9	1.25e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	SUGCT	0.36	12.9	1.29e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL34	0.44	98.6	1.38e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	OAZ2	0.88	77.1	1.54e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	FGFR1	0.31	22.9	1.6e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	COX6B1	-0.62	91.4	1.7e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-ND4	-0.74	100.0	1.85e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	SPTSSB	-1.15	5.7	1.99e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	CAPS	-0.84	4.3	2e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	AGT	0.28	11.4	2.05e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-CO3	-0.81	100.0	2.05e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	DDX3Y	0.26	24.3	2.2e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPS29	-0.44	100.0	2.22e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	MYH9	0.68	84.3	2.55e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-ND4L	-0.92	54.3	2.88e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	CACYBP	-0.85	34.3	3.07e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	PPAP2C	-0.81	5.7	3.13e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	HSPE1	-0.73	82.9	3.89e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL11	-0.43	98.6	3.91e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	FAT1	0.41	35.7	4.47e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	PTK2	0.75	68.6	4.64e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	PEBP1	-0.78	65.7	4.97e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	CD40	0.27	25.7	5.33e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	KRT20	-1.1	4.3	5.46e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	TXNDC15	0.43	52.9	5.72e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	ATP5J	-0.7	88.6	6.18e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	TNFAIP2	-0.9	10.0	7e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	PIP4K2A	0.27	21.4	8.47e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	HLA-E	0.72	92.9	8.78e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	TUBA1A	0.84	84.3	8.79e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRSS22	-0.87	2.9	9.69e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	GPRC5A	-1.01	21.4	9.8e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	DUSP23	-0.87	30.0	9.83e-15
10	Stromal cells	Myofibroblasts	Myofibroblasts	NDUFA4	-0.64	60.0	1.28e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	ADAMTS9	0.28	18.6	1.33e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPA3	-0.84	32.9	1.5e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	ARHGAP1	0.42	40.0	1.52e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	FSTL1	1.0	62.9	1.63e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	DAPK3	0.39	44.3	1.96e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	ABRACL	-0.76	24.3	1.97e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	TUBB6	0.62	52.9	1.97e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	CCNI	0.69	95.7	2.15e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	FAM118A	0.5	51.4	2.23e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	APBB1	0.34	17.1	2.75e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	GPRC5C	0.56	31.4	3e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	IFIT3	0.55	34.3	3.06e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	TMEM258	-0.58	84.3	3.15e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	PCNA	-0.96	20.0	3.59e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-CO1	-0.77	100.0	4.3e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	PNRC1	1.06	87.1	4.4e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	SRP14	-0.45	98.6	4.5e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	CKS2	-1.04	32.9	4.72e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	UBE2E1	0.58	61.4	4.76e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	KLF5	-0.88	10.0	5.28e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	HOPX	0.98	71.4	5.58e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	GABARAP	0.67	61.4	6.62e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	TMBIM6	-0.64	75.7	6.7e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	LAMB1	0.38	47.1	7.54e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	CSRP2	1.09	75.7	7.67e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	QPCT	-0.82	4.3	7.83e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	PDXK	-0.8	24.3	8.81e-14
10	Stromal cells	Myofibroblasts	Myofibroblasts	IRF7	0.33	28.6	1e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CKLF	-0.82	32.9	1.01e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	SNAPC2	0.33	40.0	1.1e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	NFIC	0.52	48.6	1.23e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	MAGED2	0.63	77.1	1.28e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	RP11-532F12.5	-0.68	2.9	1.53e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRDX1	-0.62	84.3	1.55e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	APOLD1	0.49	37.1	1.58e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	COX6A1	-0.53	92.9	1.74e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	ZDHHC12	-0.81	22.9	1.93e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	FBLN1	-0.88	37.1	1.95e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRDX2	-0.72	62.9	2.02e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CTHRC1	0.26	34.3	2.03e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	COBLL1	0.51	40.0	2.21e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	ZNF532	0.37	30.0	2.24e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	PDLIM1	0.87	82.9	2.24e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	WIPI1	0.37	45.7	2.42e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	APRT	-0.71	52.9	2.57e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CHMP4B	-0.74	60.0	2.73e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	DSTN	0.72	95.7	2.8e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	C1orf122	-0.8	52.9	3.12e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	PTPRS	0.31	28.6	3.48e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CAPZB	0.59	84.3	4.16e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT-ND2	-0.67	97.1	4.16e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	RASD1	0.77	32.9	4.21e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	SVIP	-0.72	12.9	4.27e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	DPYSL2	0.46	44.3	4.76e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	G0S2	0.26	22.9	5.02e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	ISG20	0.27	41.4	5.22e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	SEPT11	0.64	60.0	5.51e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL37	-0.42	98.6	7.02e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CXCL2	2.25	31.4	7.47e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	FERMT2	0.48	44.3	8.47e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	S100A14	-0.94	5.7	8.76e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	CHMP2B	-0.74	32.9	9.44e-13
10	Stromal cells	Myofibroblasts	Myofibroblasts	FBLIM1	0.47	55.7	1.02e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL15	0.38	98.6	1.16e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	ZYX	0.58	57.1	1.16e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRDX6	-0.75	75.7	1.31e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	LBH	0.75	72.9	1.38e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPSAP58	0.54	81.4	1.44e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	CYTH3	0.27	24.3	1.57e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	ACSL5	-0.71	4.3	1.59e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL37A	-0.38	98.6	2.1e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	CCL2	1.83	27.1	2.21e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	PHGDH	-0.84	15.7	2.36e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	VCL	0.49	48.6	2.78e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	CNN2	0.36	38.6	2.86e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	TGFB1	0.42	37.1	2.95e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	EDN1	-1.14	7.1	3.22e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	PELI1	0.36	32.9	3.27e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	EEF1A1	0.39	100.0	3.5e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	C14orf1	-0.66	15.7	3.53e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	RCN1	-0.78	57.1	3.76e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	DNAJA1	-0.68	72.9	4.21e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	HNRNPF	-0.7	77.1	4.21e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	ID1	-1.15	54.3	4.42e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	SOX4	-0.88	60.0	4.49e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	HK1	0.34	35.7	4.58e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	COMMD6	0.58	87.1	4.75e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	CCDC64B	-0.68	5.7	5.2e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	SFN	-0.92	17.1	6.26e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	SRCAP	-0.7	10.0	6.26e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	UPK3A	-0.85	4.3	6.69e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	C12orf57	0.59	90.0	6.92e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	EPS8	0.72	72.9	6.93e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPS20	-0.36	97.1	7.28e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	PGRMC2	-0.76	21.4	7.55e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	JUP	-0.65	7.1	7.95e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	CTSO	0.35	25.7	8.09e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	ARPC5	0.57	90.0	8.42e-12
10	Stromal cells	Myofibroblasts	Myofibroblasts	TSPAN13	-0.63	5.7	1.04e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	FXYD3	-0.99	35.7	1.11e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	AC015849.16	-0.86	0.0	1.16e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL30	-0.37	98.6	1.17e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	PFN1	0.58	97.1	1.42e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	MT1M	0.4	12.9	1.42e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	TSC22D3	0.62	54.3	1.58e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	PHLDA1	0.73	92.9	1.94e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	RAB11A	-0.6	50.0	2.09e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ACAA2	-0.81	12.9	2.15e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	MRP63	-0.62	48.6	2.18e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	TMEM45B	-0.62	2.9	2.73e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ARF6	-0.71	42.9	2.73e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	PRR24	0.59	51.4	2.73e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	BAG2	0.35	32.9	2.76e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ISLR	0.28	20.0	2.93e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	CCL15	-0.77	4.3	3.9e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPL36AL	-0.43	91.4	4.27e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	IDH1	-0.74	24.3	4.29e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPS13	0.34	98.6	4.49e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	KCNS3	0.38	44.3	5.09e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	SMARCB1	0.57	64.3	5.32e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	HSP90AA1	-0.43	91.4	5.48e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	CITED2	-0.77	22.9	5.62e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ANKRD10	0.6	61.4	5.79e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	TOB1	-0.79	45.7	6.05e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	TPGS1	0.41	52.9	6.85e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ZFP36L1	0.72	87.1	6.92e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	DCXR	-0.62	11.4	7.17e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	PFKFB3	0.36	25.7	7.17e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ERBB2	-0.63	11.4	9.77e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	EIF4G2	-0.62	90.0	9.8e-11
10	Stromal cells	Myofibroblasts	Myofibroblasts	ISCU	0.5	81.4	1.03e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	RBPMS	0.56	64.3	1.04e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ERH	-0.54	78.6	1.05e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	C9orf3	0.67	60.0	1.05e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	OPTN	0.52	58.6	1.09e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ATPIF1	-0.59	74.3	1.1e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	SEC24D	0.42	40.0	1.11e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	MAGEA6	-0.6	2.9	1.12e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ARHGEF12	0.41	41.4	1.15e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	BCAP31	-0.57	57.1	1.26e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ACP1	-0.61	45.7	1.29e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	EBP	-0.59	8.6	1.53e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	PTPLAD1	-0.62	25.7	1.53e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	C3orf70	0.31	30.0	1.54e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	KTN1	-0.65	74.3	1.59e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	RPS6	-0.4	100.0	1.6e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	SNRPD2	-0.46	85.7	1.7e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	AP1M2	-0.55	4.3	1.79e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	LSM5	-0.63	40.0	1.84e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	BID	-0.71	17.1	1.86e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	RNH1	0.55	77.1	1.92e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	LGALS1	0.68	100.0	1.99e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	TLN1	0.5	54.3	2.19e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	SDC1	-0.61	8.6	2.35e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ANKRD28	0.42	41.4	2.4e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	CBX3	-0.57	62.9	2.6e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	HMGB3	-0.68	18.6	2.63e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	KRT17	-1.15	14.3	2.64e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	PON2	-0.65	27.1	2.75e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	VSIG2	-0.61	2.9	2.75e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	LMNA	0.57	98.6	2.8e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	WDR34	-0.68	15.7	2.84e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ALKBH7	0.51	65.7	2.84e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	NF2	0.26	20.0	2.87e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	LY6E	-0.81	80.0	2.89e-10
10	Stromal cells	Myofibroblasts	Myofibroblasts	ARL6IP6	-0.63	20.0	3.1e-10
