Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Stromal cells	Epithelial	Epithelial	CDCA8	-0.42	7.2	5.97e-32
0	Stromal cells	Epithelial	Epithelial	AMIGO2	0.46	53.3	6.96e-32
0	Stromal cells	Epithelial	Epithelial	SEC61G	0.27	98.2	1.5e-31
0	Stromal cells	Epithelial	Epithelial	MT-ND4	-0.34	99.5	7.67e-31
0	Stromal cells	Epithelial	Epithelial	CENPW	-0.32	11.3	8.87e-31
0	Stromal cells	Epithelial	Epithelial	TPX2	-0.35	5.0	9.29e-31
0	Stromal cells	Epithelial	Epithelial	MAD2L1	-0.28	6.4	3.5e-30
0	Stromal cells	Epithelial	Epithelial	CDKN3	-0.39	8.3	3.82e-30
0	Stromal cells	Epithelial	Epithelial	UBE2C	-0.81	23.0	7.03e-30
0	Stromal cells	Epithelial	Epithelial	LDHA	0.41	83.1	7.07e-30
0	Stromal cells	Epithelial	Epithelial	RRM2	-0.4	3.9	1.19e-29
0	Stromal cells	Epithelial	Epithelial	PLCL2	0.39	45.1	1.43e-29
0	Stromal cells	Epithelial	Epithelial	CDK1	-0.41	7.5	1.81e-29
0	Stromal cells	Epithelial	Epithelial	MT-ND1	-0.3	97.0	3.31e-29
0	Stromal cells	Epithelial	Epithelial	SPC25	-0.28	2.4	4.39e-29
0	Stromal cells	Epithelial	Epithelial	HMGB2	-0.74	45.1	8.21e-29
0	Stromal cells	Epithelial	Epithelial	MT-CO2	-0.35	100.0	1.15e-28
0	Stromal cells	Epithelial	Epithelial	APOBEC3B	-0.46	21.5	1.15e-28
0	Stromal cells	Epithelial	Epithelial	DIO2	0.67	42.1	1.58e-28
0	Stromal cells	Epithelial	Epithelial	SNX31	-0.27	10.5	2.4e-28
0	Stromal cells	Epithelial	Epithelial	UPK1A	-0.69	66.8	2.72e-28
0	Stromal cells	Epithelial	Epithelial	KIAA0101	-0.63	33.1	2.86e-28
0	Stromal cells	Epithelial	Epithelial	IFITM1	-0.56	1.8	4.94e-28
0	Stromal cells	Epithelial	Epithelial	PRC1	-0.33	8.8	5.68e-28
0	Stromal cells	Epithelial	Epithelial	LDHB	-0.31	67.6	7.58e-28
0	Stromal cells	Epithelial	Epithelial	SMC4	-0.41	21.3	1.72e-27
0	Stromal cells	Epithelial	Epithelial	TSPAN2	0.36	44.1	1.89e-27
0	Stromal cells	Epithelial	Epithelial	CDC20	-0.43	7.2	2.53e-27
0	Stromal cells	Epithelial	Epithelial	IFITM2	-0.67	3.3	2.84e-27
0	Stromal cells	Epithelial	Epithelial	ARHGAP29	0.36	66.7	8.53e-27
0	Stromal cells	Epithelial	Epithelial	CD9	0.27	98.8	1.1e-26
0	Stromal cells	Epithelial	Epithelial	UBB	-0.26	92.0	1.39e-26
0	Stromal cells	Epithelial	Epithelial	TPI1	0.27	97.4	2.23e-26
0	Stromal cells	Epithelial	Epithelial	CITED4	0.38	73.2	2.71e-26
0	Stromal cells	Epithelial	Epithelial	KLF6	-0.43	74.1	3.9e-26
0	Stromal cells	Epithelial	Epithelial	MGST2	-0.31	40.0	5.51e-26
0	Stromal cells	Epithelial	Epithelial	DBI	-0.47	94.2	5.88e-26
0	Stromal cells	Epithelial	Epithelial	CDKN2A	0.31	89.2	6.51e-26
0	Stromal cells	Epithelial	Epithelial	SNRPF	-0.28	79.1	6.96e-26
0	Stromal cells	Epithelial	Epithelial	GGH	-0.28	21.4	7.41e-26
0	Stromal cells	Epithelial	Epithelial	RPS4Y1	-0.58	0.0	7.56e-26
0	Stromal cells	Epithelial	Epithelial	SPARC	-1.47	2.2	1.17e-25
0	Stromal cells	Epithelial	Epithelial	NAMPT	-0.31	23.5	1.81e-25
0	Stromal cells	Epithelial	Epithelial	FSTL3	0.32	25.6	5.73e-25
0	Stromal cells	Epithelial	Epithelial	CDCA3	-0.25	3.8	6.55e-25
0	Stromal cells	Epithelial	Epithelial	PTTG1	-0.41	12.1	8.98e-25
0	Stromal cells	Epithelial	Epithelial	B2M	0.26	100.0	1.41e-24
0	Stromal cells	Epithelial	Epithelial	RPS15	-0.28	99.2	2.5e-24
0	Stromal cells	Epithelial	Epithelial	RHOD	0.38	53.8	2.66e-24
0	Stromal cells	Epithelial	Epithelial	GSTP1	-0.42	73.4	4.48e-24
0	Stromal cells	Epithelial	Epithelial	FABP4	-1.21	0.4	4.99e-24
0	Stromal cells	Epithelial	Epithelial	HSPA1A	-1.42	7.2	5.72e-24
0	Stromal cells	Epithelial	Epithelial	CENPA	-0.27	2.0	6.55e-24
0	Stromal cells	Epithelial	Epithelial	ZWINT	-0.27	10.5	7.79e-24
0	Stromal cells	Epithelial	Epithelial	VIM	-1.45	3.3	8.76e-24
0	Stromal cells	Epithelial	Epithelial	RPS9	-0.26	98.7	1.59e-23
0	Stromal cells	Epithelial	Epithelial	MMD	0.37	47.2	2.18e-23
0	Stromal cells	Epithelial	Epithelial	EPCAM	0.27	90.3	2.93e-23
0	Stromal cells	Epithelial	Epithelial	PPA1	-0.28	38.1	3.72e-23
0	Stromal cells	Epithelial	Epithelial	IFI16	-0.28	0.7	4.44e-23
0	Stromal cells	Epithelial	Epithelial	GDF15	-0.75	20.1	4.45e-23
0	Stromal cells	Epithelial	Epithelial	UBE2T	-0.35	22.3	5.18e-23
0	Stromal cells	Epithelial	Epithelial	EFEMP1	0.34	35.4	5.75e-23
0	Stromal cells	Epithelial	Epithelial	TK1	-0.3	11.3	1.56e-22
0	Stromal cells	Epithelial	Epithelial	KDM6B	-0.34	12.3	1.77e-22
0	Stromal cells	Epithelial	Epithelial	UBE2S	-0.35	30.1	2.4e-22
0	Stromal cells	Epithelial	Epithelial	MT-ND3	-0.34	97.1	3.22e-22
0	Stromal cells	Epithelial	Epithelial	CLIC3	0.46	55.4	3.49e-22
0	Stromal cells	Epithelial	Epithelial	S100A4	0.75	64.0	5.73e-22
0	Stromal cells	Epithelial	Epithelial	NBEAL1	-0.55	49.1	1.12e-21
0	Stromal cells	Epithelial	Epithelial	C16orf13	0.28	78.6	1.66e-21
0	Stromal cells	Epithelial	Epithelial	COL1A1	-2.11	1.8	1.94e-21
0	Stromal cells	Epithelial	Epithelial	CKS1B	-0.57	51.2	3.46e-21
0	Stromal cells	Epithelial	Epithelial	TMEM147	-0.4	85.3	3.53e-21
0	Stromal cells	Epithelial	Epithelial	ALPP	0.29	20.3	4.1e-21
0	Stromal cells	Epithelial	Epithelial	CCNB2	-0.3	10.4	5.78e-21
0	Stromal cells	Epithelial	Epithelial	DHRS3	-0.32	1.3	7.63e-21
0	Stromal cells	Epithelial	Epithelial	CHMP2B	0.3	74.5	8.14e-21
0	Stromal cells	Epithelial	Epithelial	DYNLRB1	0.25	85.8	8.14e-21
0	Stromal cells	Epithelial	Epithelial	C11orf96	-0.55	0.7	8.54e-21
0	Stromal cells	Epithelial	Epithelial	ASF1B	-0.27	11.5	9.66e-21
0	Stromal cells	Epithelial	Epithelial	MORF4L2	0.25	90.4	1.13e-20
0	Stromal cells	Epithelial	Epithelial	UPK3A	-0.37	37.9	1.92e-20
0	Stromal cells	Epithelial	Epithelial	IGFBP2	-0.5	0.7	2.81e-20
0	Stromal cells	Epithelial	Epithelial	TES	0.33	65.5	3.05e-20
0	Stromal cells	Epithelial	Epithelial	TXNDC17	-0.26	52.0	3.92e-20
0	Stromal cells	Epithelial	Epithelial	CCL15	-0.33	32.0	5.44e-20
0	Stromal cells	Epithelial	Epithelial	MYADM	-0.3	0.7	5.63e-20
0	Stromal cells	Epithelial	Epithelial	GPX2	-0.53	1.6	5.78e-20
0	Stromal cells	Epithelial	Epithelial	PTMS	-0.43	8.0	6.58e-20
0	Stromal cells	Epithelial	Epithelial	LUM	-1.63	2.2	1.02e-19
0	Stromal cells	Epithelial	Epithelial	KRT13	-1.03	3.0	1.7e-19
0	Stromal cells	Epithelial	Epithelial	B4GALT4	0.3	59.3	1.84e-19
0	Stromal cells	Epithelial	Epithelial	ZFP36	-0.56	73.1	2.82e-19
0	Stromal cells	Epithelial	Epithelial	SERPING1	-0.43	2.0	3.37e-19
0	Stromal cells	Epithelial	Epithelial	C5orf46	0.33	35.2	3.42e-19
0	Stromal cells	Epithelial	Epithelial	VGLL3	0.33	45.3	3.65e-19
0	Stromal cells	Epithelial	Epithelial	DEGS1	0.32	50.8	5.46e-19
0	Stromal cells	Epithelial	Epithelial	COL1A2	-1.84	3.0	7.99e-19
0	Stromal cells	Epithelial	Epithelial	CHMP1B	0.34	66.8	8.66e-19
0	Stromal cells	Epithelial	Epithelial	KTN1	0.27	90.0	1.14e-18
0	Stromal cells	Epithelial	Epithelial	REL	-0.28	27.3	1.26e-18
0	Stromal cells	Epithelial	Epithelial	MIR205HG	-0.49	2.8	2.52e-18
0	Stromal cells	Epithelial	Epithelial	ITM2C	-0.26	41.5	2.53e-18
0	Stromal cells	Epithelial	Epithelial	KDELR3	0.37	46.9	3.75e-18
0	Stromal cells	Epithelial	Epithelial	MYCL	-0.32	32.3	4.09e-18
0	Stromal cells	Epithelial	Epithelial	NCOA7	-0.43	10.4	4.36e-18
0	Stromal cells	Epithelial	Epithelial	BAMBI	-0.3	22.4	4.66e-18
0	Stromal cells	Epithelial	Epithelial	PTGES	0.36	48.2	6.28e-18
0	Stromal cells	Epithelial	Epithelial	TMEM45B	0.31	56.0	8.2e-18
0	Stromal cells	Epithelial	Epithelial	ARL6IP6	0.28	66.5	9.21e-18
0	Stromal cells	Epithelial	Epithelial	SOD2	-0.46	20.3	9.44e-18
0	Stromal cells	Epithelial	Epithelial	PHGDH	-0.33	49.7	9.44e-18
0	Stromal cells	Epithelial	Epithelial	LY6D	-0.73	2.0	2.07e-17
0	Stromal cells	Epithelial	Epithelial	COL3A1	-1.69	2.6	2.13e-17
0	Stromal cells	Epithelial	Epithelial	RPS28	-0.41	98.7	2.37e-17
0	Stromal cells	Epithelial	Epithelial	MMP2	-0.6	0.7	2.43e-17
0	Stromal cells	Epithelial	Epithelial	HEXIM1	0.29	68.6	3.08e-17
0	Stromal cells	Epithelial	Epithelial	COL6A2	-0.69	0.4	3.44e-17
0	Stromal cells	Epithelial	Epithelial	STOM	-0.27	2.8	3.46e-17
0	Stromal cells	Epithelial	Epithelial	KPNA2	-0.41	29.1	4.71e-17
0	Stromal cells	Epithelial	Epithelial	JAM2	0.37	32.8	5.04e-17
0	Stromal cells	Epithelial	Epithelial	ZFP36L1	-0.39	45.4	5.13e-17
0	Stromal cells	Epithelial	Epithelial	MET	0.3	34.4	5.53e-17
0	Stromal cells	Epithelial	Epithelial	LY6E	0.36	94.4	5.56e-17
0	Stromal cells	Epithelial	Epithelial	GNB2L1	-0.36	89.5	7.25e-17
0	Stromal cells	Epithelial	Epithelial	GATA3	0.29	74.9	8.83e-17
0	Stromal cells	Epithelial	Epithelial	PRSS23	0.3	67.5	9.37e-17
0	Stromal cells	Epithelial	Epithelial	VAMP5	-0.29	3.4	9.65e-17
0	Stromal cells	Epithelial	Epithelial	SIGLEC6	0.3	28.3	1.09e-16
0	Stromal cells	Epithelial	Epithelial	GGCT	-0.29	63.3	1.1e-16
0	Stromal cells	Epithelial	Epithelial	ERO1L	0.32	52.1	1.26e-16
0	Stromal cells	Epithelial	Epithelial	TMEM120B	0.29	37.5	2.32e-16
0	Stromal cells	Epithelial	Epithelial	TMEM91	0.3	34.3	3.27e-16
0	Stromal cells	Epithelial	Epithelial	CCDC80	0.28	60.0	6.45e-16
0	Stromal cells	Epithelial	Epithelial	PRKCDBP	-0.42	1.6	8.13e-16
0	Stromal cells	Epithelial	Epithelial	PSG4	0.29	35.4	1.24e-15
0	Stromal cells	Epithelial	Epithelial	ID3	0.46	67.8	1.29e-15
0	Stromal cells	Epithelial	Epithelial	CYB5A	-0.29	78.3	3.91e-15
0	Stromal cells	Epithelial	Epithelial	INSIG1	-0.29	29.1	4.52e-15
0	Stromal cells	Epithelial	Epithelial	CYP1B1	-0.35	4.2	7.94e-15
0	Stromal cells	Epithelial	Epithelial	S100A16	0.29	69.7	9.39e-15
0	Stromal cells	Epithelial	Epithelial	CD74	-0.94	17.1	1.04e-14
0	Stromal cells	Epithelial	Epithelial	TUBA4A	0.27	22.3	1.15e-14
0	Stromal cells	Epithelial	Epithelial	C1R	-0.51	4.7	1.32e-14
0	Stromal cells	Epithelial	Epithelial	SYT8	0.26	46.6	1.49e-14
0	Stromal cells	Epithelial	Epithelial	PLAUR	-0.49	4.7	1.57e-14
0	Stromal cells	Epithelial	Epithelial	DUSP2	-0.38	2.6	2.04e-14
0	Stromal cells	Epithelial	Epithelial	TCF4	-0.3	1.4	2.07e-14
0	Stromal cells	Epithelial	Epithelial	ACTA2	-1.05	2.2	2.09e-14
0	Stromal cells	Epithelial	Epithelial	TGM2	0.35	33.2	2.25e-14
0	Stromal cells	Epithelial	Epithelial	COL4A2	-0.42	2.8	2.27e-14
0	Stromal cells	Epithelial	Epithelial	FXYD5	-0.33	6.6	2.54e-14
0	Stromal cells	Epithelial	Epithelial	RPSAP58	-0.51	39.5	3.53e-14
0	Stromal cells	Epithelial	Epithelial	LGALS3BP	-0.34	11.9	4.77e-14
0	Stromal cells	Epithelial	Epithelial	IL8	-0.8	8.5	4.88e-14
0	Stromal cells	Epithelial	Epithelial	RHOBTB3	0.31	41.7	5.4e-14
0	Stromal cells	Epithelial	Epithelial	CTNNB1	-0.33	24.3	7.5e-14
0	Stromal cells	Epithelial	Epithelial	SLPI	-0.37	1.7	1.41e-13
0	Stromal cells	Epithelial	Epithelial	SOX4	0.28	90.9	1.47e-13
0	Stromal cells	Epithelial	Epithelial	IGFBP4	-0.43	18.6	1.55e-13
0	Stromal cells	Epithelial	Epithelial	NPDC1	-0.29	1.8	1.61e-13
0	Stromal cells	Epithelial	Epithelial	RPS23	-0.27	98.4	1.62e-13
0	Stromal cells	Epithelial	Epithelial	SOCS3	-0.44	38.7	1.88e-13
0	Stromal cells	Epithelial	Epithelial	PCSK1N	0.36	20.5	2.43e-13
0	Stromal cells	Epithelial	Epithelial	PIM1	0.26	81.8	2.43e-13
0	Stromal cells	Epithelial	Epithelial	IFI6	0.42	64.4	2.51e-13
0	Stromal cells	Epithelial	Epithelial	PRR15	0.26	46.6	2.51e-13
0	Stromal cells	Epithelial	Epithelial	H1F0	0.3	52.4	3.26e-13
0	Stromal cells	Epithelial	Epithelial	TYMS	-0.33	26.8	3.63e-13
0	Stromal cells	Epithelial	Epithelial	LBH	0.29	45.3	3.72e-13
0	Stromal cells	Epithelial	Epithelial	WFDC2	-0.37	5.0	4.2e-13
0	Stromal cells	Epithelial	Epithelial	PGK1	0.27	80.3	4.56e-13
0	Stromal cells	Epithelial	Epithelial	TUBA1B	-0.5	87.3	5.08e-13
0	Stromal cells	Epithelial	Epithelial	TUBA1A	0.3	60.8	5.97e-13
0	Stromal cells	Epithelial	Epithelial	PEG10	0.31	36.6	6.05e-13
0	Stromal cells	Epithelial	Epithelial	YIPF2	0.28	37.4	8.2e-13
0	Stromal cells	Epithelial	Epithelial	CTSB	-0.26	24.5	8.65e-13
0	Stromal cells	Epithelial	Epithelial	HCCAT3	0.5	46.5	1.21e-12
0	Stromal cells	Epithelial	Epithelial	RAP2B	-0.26	9.8	2.33e-12
0	Stromal cells	Epithelial	Epithelial	SCD	0.28	41.3	4.47e-12
0	Stromal cells	Epithelial	Epithelial	BTG2	-0.29	63.4	4.49e-12
0	Stromal cells	Epithelial	Epithelial	GABARAPL1	0.27	42.1	4.64e-12
0	Stromal cells	Epithelial	Epithelial	BHLHE40	-0.35	15.5	5.36e-12
0	Stromal cells	Epithelial	Epithelial	C8orf4	0.32	51.2	5.5e-12
0	Stromal cells	Epithelial	Epithelial	TNNC1	0.27	36.5	5.69e-12
0	Stromal cells	Epithelial	Epithelial	MARCKS	-0.31	33.3	8.3e-12
0	Stromal cells	Epithelial	Epithelial	DKK1	0.66	50.9	9.63e-12
0	Stromal cells	Epithelial	Epithelial	BST2	-0.35	8.7	1.37e-11
0	Stromal cells	Epithelial	Epithelial	CTGF	0.41	59.7	1.55e-11
0	Stromal cells	Epithelial	Epithelial	SMIM5	0.29	35.0	1.68e-11
0	Stromal cells	Epithelial	Epithelial	FBLN1	-0.26	69.2	2.76e-11
0	Stromal cells	Epithelial	Epithelial	CAMK2N1	0.28	46.6	3.59e-11
0	Stromal cells	Epithelial	Epithelial	RGCC	-0.39	2.5	3.64e-11
0	Stromal cells	Epithelial	Epithelial	SELM	-0.51	6.4	4.73e-11
0	Stromal cells	Epithelial	Epithelial	RCAN1	-0.26	3.9	5.72e-11
0	Stromal cells	Epithelial	Epithelial	F3	0.36	27.4	8e-11
0	Stromal cells	Epithelial	Epithelial	PHGR1	0.39	18.9	8.49e-11
0	Stromal cells	Epithelial	Epithelial	CDKN2B	0.26	44.1	1.16e-10
0	Stromal cells	Epithelial	Epithelial	LYPD3	0.31	58.7	1.59e-10
0	Stromal cells	Epithelial	Epithelial	ITM2B	-0.33	82.8	2.43e-10
0	Stromal cells	Epithelial	Epithelial	TAGLN	-1.1	4.6	2.62e-10
0	Stromal cells	Epithelial	Epithelial	DUSP23	0.26	74.4	3.02e-10
0	Stromal cells	Epithelial	Epithelial	PLOD2	0.3	54.5	4.25e-10
0	Stromal cells	Epithelial	Epithelial	PAWR	0.26	61.2	4.54e-10
0	Stromal cells	Epithelial	Epithelial	LPCAT1	0.29	49.9	5.62e-10
0	Stromal cells	Epithelial	Epithelial	GUCA2A	0.41	44.2	1.16e-09
0	Stromal cells	Epithelial	Epithelial	OAS1	0.31	46.6	1.83e-09
0	Stromal cells	Epithelial	Epithelial	TM4SF1	-0.34	6.6	7.24e-09
0	Stromal cells	Epithelial	Epithelial	OSR2	0.26	31.4	9.36e-09
0	Stromal cells	Epithelial	Epithelial	KRT80	0.25	35.6	1.16e-08
0	Stromal cells	Epithelial	Epithelial	IRF1	-0.25	37.9	1.17e-08
0	Stromal cells	Epithelial	Epithelial	ICAM1	-0.32	9.3	1.32e-08
0	Stromal cells	Epithelial	Epithelial	EEF2	-0.27	71.8	2.08e-08
0	Stromal cells	Epithelial	Epithelial	MAFB	0.26	41.3	2.5e-08
0	Stromal cells	Epithelial	Epithelial	PMAIP1	-0.26	44.9	3.29e-08
0	Stromal cells	Epithelial	Epithelial	TPM2	-0.62	9.1	4.11e-08
